module,category,file,first_line,matched_patterns
core,gui/menu,src/main/java/net/shadowmage/ancientwarfare/core/gui/elements/Scrollbar.java,8,GuiContainer
core,gui/menu,src/main/java/net/shadowmage/ancientwarfare/core/gui/elements/Tab.java,8,GuiContainer
core,gui/menu,src/main/java/net/shadowmage/ancientwarfare/core/gui/elements/Text.java,7,GuiContainer
core,rendering,src/main/java/net/shadowmage/ancientwarfare/core/gui/elements/Text.java,4,GlStateManager
core,gui/menu,src/main/java/net/shadowmage/ancientwarfare/core/gui/elements/TextButton.java,6,GuiContainer
core,gui/menu,src/main/java/net/shadowmage/ancientwarfare/core/gui/elements/TexturedButton.java,8,GuiContainer
core,rendering,src/main/java/net/shadowmage/ancientwarfare/core/gui/elements/Tooltip.java,5,GlStateManager | BufferBuilder
core,gui/menu,src/main/java/net/shadowmage/ancientwarfare/core/gui/manual/GuiManual.java,10,GuiContainer
core,gui/menu,src/main/java/net/shadowmage/ancientwarfare/core/gui/manual/Page.java,3,GuiContainer
core,rendering,src/main/java/net/shadowmage/ancientwarfare/core/gui/manual/elements/ImageElementWrapper.java,6,GlStateManager
core,rendering,src/main/java/net/shadowmage/ancientwarfare/core/gui/manual/elements/ItemElementWrapper.java,5,GlStateManager
core,gui/menu,src/main/java/net/shadowmage/ancientwarfare/core/gui/manual/elements/TableOfContentsWrapper.java,7,GuiContainer
core,gui/menu,src/main/java/net/shadowmage/ancientwarfare/core/gui/options/OptionsGuiFactory.java,4,GuiScreen
core,gui/menu,src/main/java/net/shadowmage/ancientwarfare/core/gui/research/GuiResearchStation.java,11,GuiContainer | GuiScreen
core,gui/menu,src/main/java/net/shadowmage/ancientwarfare/core/gui/research/GuiResearchStationSelection.java,7,GuiContainer | GuiScreen
core,registry,src/main/java/net/shadowmage/ancientwarfare/core/init/AWCoreBlocks.java,7,RegistryEvent | GameRegistry | ObjectHolder
core,registry,src/main/java/net/shadowmage/ancientwarfare/core/init/AWCoreItems.java,4,RegistryEvent | GameRegistry | ObjectHolder
core,gui/menu,src/main/java/net/shadowmage/ancientwarfare/core/item/ItemBackpack.java,47,openGui\(
core,entity/ai,src/main/java/net/shadowmage/ancientwarfare/core/item/ItemHammer.java,9,net\.minecraft\.entity\. | SharedMonsterAttributes
core,gui/menu,src/main/java/net/shadowmage/ancientwarfare/core/item/ItemInfoTool.java,143,openGui\(
core,gui/menu,src/main/java/net/shadowmage/ancientwarfare/core/item/ItemManual.java,44,openGui\(
core,entity/ai,src/main/java/net/shadowmage/ancientwarfare/core/item/ItemQuill.java,8,net\.minecraft\.entity\. | SharedMonsterAttributes
core,gui/menu,src/main/java/net/shadowmage/ancientwarfare/core/item/ItemResearchBook.java,59,openGui\(
